MS

c Randomly-generated maxsat whose corresponding MN is tripartite 
p cnf 300 1000
172 62 -240 0
163 -173 -189 0
175 -101 -96 0
19 -86 60 0
-97 260 126 0
31 -227 222 0
-52 5 273 0
-46 272 -114 0
61 182 -30 0
-49 230 -21 0
-286 104 291 0
82 -83 -51 0
253 218 -21 0
136 -239 252 0
-109 89 -42 0
-265 272 -153 0
-253 -128 -108 0
250 -239 63 0
193 209 144 0
-202 -59 225 0
106 -218 -66 0
-283 -119 -144 0
-196 95 -144 0
22 140 -45 0
208 104 228 0
121 227 99 0
229 -197 90 0
175 -113 -66 0
211 -227 -63 0
-202 -122 105 0
145 116 -249 0
127 -245 207 0
-43 -236 -228 0
-25 107 132 0
67 146 171 0
-229 188 81 0
145 -251 99 0
10 53 -204 0
-118 -245 261 0
-1 -107 -36 0
-211 -236 -282 0
283 71 -144 0
49 197 -276 0
-112 -281 240 0
-262 14 87 0
268 209 -297 0
106 -2 -42 0
76 -83 -48 0
-22 -245 189 0
-46 -26 195 0
121 -119 -141 0
-268 -272 123 0
136 -257 297 0
277 56 90 0
-286 -272 39 0
271 38 -93 0
-130 74 171 0
10 221 270 0
-109 164 -147 0
-178 194 -300 0
-256 71 147 0
-46 -110 -219 0
-115 -206 195 0
112 -248 72 0
-259 116 -231 0
274 -95 -294 0
127 -236 144 0
-259 233 222 0
178 77 138 0
298 239 -222 0
-172 164 165 0
181 -230 -126 0
175 -293 189 0
115 89 -162 0
-106 209 72 0
-94 95 285 0
10 -152 300 0
259 245 -228 0
-103 -113 24 0
-163 131 -6 0
241 -272 -279 0
-160 245 126 0
265 158 -195 0
130 -287 -234 0
259 -53 255 0
97 80 -156 0
94 -110 102 0
-154 -146 -105 0
133 -23 21 0
97 80 -81 0
-178 -65 30 0
-4 134 -60 0
-73 284 -240 0
-280 128 -192 0
1 188 -57 0
-211 263 9 0
223 -167 195 0
-157 161 -273 0
-148 89 -45 0
271 50 195 0
16 -299 87 0
106 -245 -249 0
184 -176 153 0
-55 -62 -177 0
-31 104 249 0
-1 -98 105 0
-130 -221 -138 0
-4 -284 -126 0
-31 -275 -57 0
22 -167 -117 0
235 269 96 0
85 233 159 0
181 212 -138 0
268 77 -300 0
-238 107 -285 0
-22 -212 36 0
211 -38 213 0
-112 -155 -132 0
-169 95 168 0
91 89 108 0
-31 227 -81 0
-82 11 90 0
-124 221 162 0
181 125 99 0
133 122 -57 0
-28 -14 168 0
